date,Pairs,Volume_USD
2021-04-18,1INCH/ARCX,24521.108424347873
2021-04-18,1INCH/COMP,41633.123858576386
2021-04-18,1INCH/DAI,12482.925436994037
2021-04-18,1INCH/USDC,313772.91489709914
2021-04-18,1INCH/USDT,170998.20849813122
2021-04-18,1INCH/WBTC,99977.25626101752
2021-04-18,1INCH/WETH,10812.853602279145
2021-04-18,AAVE/DAI,1255.8255827642429
2021-04-18,AAVE/SHIB,77.88385232813872
2021-04-18,AAVE/USDC,570821.8841304942
2021-04-18,AAVE/WBTC,523981.1750716998
2021-04-18,AAVE/WETH,28351.729380257813
2021-04-18,AAVE/YFI,75221.8707095244
2021-04-18,ADX/WETH,11699.730534725915
2021-04-18,AIOZ/WETH,1165.2926021820301
2021-04-18,AKITA/USDT,16407.707520526114
2021-04-18,AKITA/WETH,5433.836169997263
2021-04-18,ALCX/MATIC,2887.6706144579907
2021-04-18,ALCX/MOVE,5179.68477184098
2021-04-18,ALCX/WETH,5135.647385756074
2021-04-18,AMP/SUSHI,2351.8629934032397
2021-04-18,AMP/USDC,23245.157492938997
2021-04-18,AMP/WETH,295262.38587681204
2021-04-18,AMPL/USDT,152257.63007380118
2021-04-18,AMPL/WETH,56193.668598635835
2021-04-18,ANKR/1INCH,2115.5194647049348
2021-04-18,ANT/1INCH,1796.855070359604
2021-04-18,ARCX/USDC,1250.92358145694
2021-04-18,ARCX/VSP,32691.44841713883
2021-04-18,ARMOR/DAI,13806.805900663476
2021-04-18,ARMOR/WETH,1983.7431531509906
2021-04-18,ATD/USDT,20981.455087214545
2021-04-18,AUDIO/USDT,37398.84890151523
2021-04-18,AUDIO/WETH,379.165783715639
2021-04-18,AUSDT/USDT,59002.08904773496
2021-04-18,AXS/WETH,28595.625843102116
2021-04-18,BAO/DAI,31568.83636410811
2021-04-18,BAO/USDT,55792.95011374403
2021-04-18,BASK/WETH,1016.7687284530919
2021-04-18,BCP/WETH,143.58010591192163
2021-04-18,BEPRO/WETH,4478.683164632
2021-04-18,BFC/WETH,139581.69000629504
2021-04-18,BFT/WETH,4174.235724221424
2021-04-18,BID/UNI,155831.62185695453
2021-04-18,BID/WETH,202.22039221578
2021-04-18,BLANK/1INCH,74064.6266977675
2021-04-18,BLES/WETH,6952.040286410429
2021-04-18,BNT/DAI,189684.38305370387
2021-04-18,BNT/FRONT,10843.68442054063
2021-04-18,BNT/USDC,730322.976730435
2021-04-18,BOND/WETH,451486.84057903383
2021-04-18,BONDLY/USDC,37648.375229203004
2021-04-18,BUIDL/WETH,32239.56898583882
2021-04-18,BYN/USDT,284.9858217244701
2021-04-18,BZRX/DAI,861.4829239437368
2021-04-18,CDAI/BAT,25630.656
2021-04-18,CDAI/CETH,21358.88
2021-04-18,CDAI/WETH,26444.391258750955
2021-04-18,CEL/FXS,9444.36261499425
2021-04-18,CEL/WETH,149889.7460676772
2021-04-18,CELL/WETH,2151.039108613905
2021-04-18,CETH/USDT,12067.5
2021-04-18,CFI/USDC,2306.19825539271
2021-04-18,CGG/WETH,3083.092962831715
2021-04-18,CHSB/PAID,1190.5566925333371
2021-04-18,CHZ/BEPRO,796.2245488107471
2021-04-18,CLIQ/WETH,15883.886343325385
